bin,n,bad,good,bad_rate,good_pct,bad_pct,woe,iv_part,var
"02: (1.0, 2.0]",21671,2646,19025,0.1220986571916386,0.13564935296424369,0.1185973560385391,0.13433907598544492,0.002290749510705801,mort_acc
"03: (2.0, 3.0]",16541,1860,14681,0.11244785684057795,0.10467719510890877,0.08337441183060722,0.22753983268834768,0.004847231742940866,mort_acc
"04: (3.0, 5.0]",19758,2050,17708,0.10375544083409252,0.1262593133934619,0.09188886399282993,0.3177579881369199,0.010921484852906624,mort_acc
"05: (5.0, inf]",9874,960,8914,0.0972250354466275,0.0635592313999501,0.0430427963253417,0.3897773649562237,0.007996842001676305,mort_acc
"00: (-inf, 1.0]",22668,2154,20514,0.09502382212811011,0.14626573027699546,0.09654940622899395,0.41537017880296023,0.0206506784092443,acc_open_past_24mths
"01: (1.0, 2.0]",22439,2439,20000,0.10869468336378627,0.1426009767922712,0.10932108447232804,0.2657610766577512,0.008844500014002124,acc_open_past_24mths
"02: (2.0, 3.0]",25604,3210,22394,0.12537103577566006,0.1596698869915511,0.14387183508850548,0.10418560843592371,0.0016459296496211101,acc_open_past_24mths
"03: (3.0, 4.0]",23988,3310,20678,0.13798565949641486,0.14743502905422268,0.14835312570020165,-0.006207818532361699,5.69937737340738e-06,acc_open_past_24mths
"04: (4.0, 5.0]",20339,2980,17359,0.1465165445695462,0.1237709885565577,0.1335648666816043,-0.07615426101372912,0.000745845551071451,acc_open_past_24mths
"05: (5.0, 6.0]",15645,2432,13213,0.15544902524768298,0.09421054507860682,0.1090073941295093,-0.14588359715219004,0.0021586175660636225,acc_open_past_24mths
"06: (6.0, 8.0]",18723,3148,15575,0.1681354483789991,0.11105129941891555,0.14109343490925386,-0.23943007836968297,0.007192990854844336,acc_open_past_24mths
"07: (8.0, inf]",13164,2642,10522,0.20069887572166514,0.07502406331325086,0.11841810441407125,-0.456412713409657,0.01980559204463561,acc_open_past_24mths
"00: (-inf, 24.1]",16143,1681,14462,0.10413182184228457,0.10311575344907489,0.07535290163567107,0.3136697440116177,0.008708366621342853,bc_util
"01: (24.1, 38.1]",16106,1788,14318,0.11101452874705078,0.10208905208370468,0.08014788259018597,0.2419720314157041,0.005309149353982997,bc_util
"02: (38.1, 48.9]",16035,1986,14049,0.12385406922357343,0.10017111689422838,0.08902083800134439,0.1180094153753972,0.0013158378934218706,bc_util
"03: (48.9, 58.3]",16138,2061,14077,0.12771099268806543,0.10037075327082813,0.09238180596011651,0.08294080867182879,0.0006626097503870536,bc_util
"04: (58.3, 66.9]",16015,2179,13836,0.136059943802685,0.0986524544579516,0.097669728881918,0.01001143902770094,9.838497185422665e-06,bc_util
"05: (66.9, 75.0]",16275,2278,13997,0.13996927803379416,0.09980036362340024,0.1021062065874972,-0.022841685790878825,5.266934046901138e-05,bc_util
"06: (75.0, 82.7]",15839,2297,13542,0.14502178167813626,0.09655627250365406,0.10295765180371948,-0.06419178300777827,0.00041091595098028267,bc_util
"07: (82.7, 89.7]",16036,2343,13693,0.1461087553005737,0.09763288296317423,0.1050190454850997,-0.07292736699950549,0.0005386533849544523,bc_util
"08: (89.7, 95.6]",16109,2549,13560,0.15823452728288534,0.09668461017432534,0.11425050414519382,-0.16693920283426975,0.0029324363365680894,bc_util
"09: (95.6, inf]",15986,2847,13139,0.17809333166520705,0.09368293465473601,0.1276047501680484,-0.3090215520670925,0.01048257207885737,bc_util
MISSING,1888,306,1582,0.1620762711864407,0.01128302021318313,0.013735155724848756,-0.19665969766792493,0.0004822362283649444,bc_util
"00: (-inf, 0.0]",30857,3194,27663,0.10350973847101144,0.19723717514527112,0.1431548285906341,0.3204801773761145,0.017332320016746564,percent_bc_gt_75
"01: (0.0, 10.0]",1342,151,1191,0.11251862891207154,0.008495240811379274,0.006789155276719696,0.22417957527938298,0.0003824695305502833,percent_bc_gt_75
"02: (10.0, 25.0]",19439,2258,17181,0.1161582385925202,0.12250187159103063,0.10120994846515796,0.19092925114877174,0.004065250937940083,percent_bc_gt_75
"03: (25.0, 33.3]",14077,1799,12278,0.12779711586275486,0.08754411607429326,0.08064082455747255,0.08213782057402554,0.0005670213199788115,percent_bc_gt_75
"04: (33.3, 50.0]",27911,3924,23987,0.14058973164702088,0.17102777084595916,0.17586825005601614,-0.027909189560902978,0.00013509385183909018,percent_bc_gt_75
"05: (50.0, 66.7]",19267,2808,16459,0.14574142315876887,0.11735410502299383,0.1258570468294869,-0.06995081118351394,0.0005947876768104035,percent_bc_gt_75
"06: (66.7, 100.0]",47819,7892,39927,0.1650390012338192,0.28467790809596805,0.3536858615281201,-0.21705072821167226,0.01497822654484577,percent_bc_gt_75
MISSING,1858,289,1569,0.15554359526372444,0.011190331895476097,0.012973336320860408,-0.14784601704103165,0.00026361010265960364,percent_bc_gt_75
"00: (-inf, 0.0]",27546,2775,24771,0.10074057939446744,0.17661758939075256,0.12437822092762715,0.3506597913352457,0.01831824604476457,num_tl_op_past_12m
"01: (0.0, 1.0]",42103,4991,37112,0.11854262166591455,0.26460732237709883,0.22368362088281424,0.16801427798554533,0.006875766159058209,num_tl_op_past_12m
